*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=F_INTERFACE_AL_FULL_TROU_v0.01
*Date=12:38:45
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;10k;THT;10.7801;-16.1978;-45;Bottom;R76
2;;THT;96.9861;-57.6362;0;Bottom;J9
3;;;11.9102;-28.9956;0;Bottom;TXT41
4;;cap-pth-5mm;9.35606;-43.3887;90;Bottom;C17
5;;;62.2396;-5.32643;90;Bottom;TXT41
6;;;46.5123;-4.09707;0;Bottom;TXT41
7;;;73.8652;-23.7996;0;Bottom;TXT41
8;;;42.5955;-5.86011;90;Bottom;TXT41
9;;cap-pth-5mm;17.9686;-64.6212;180;Bottom;C14
10;;;26.1713;-9.03108;90;Bottom;TXT41
11;;;65.0317;-55.3825;90;Bottom;TXT41
12;;;79.7563;-62.7303;-90;Bottom;TXT41
13;;THT;60.1472;-57.5244;-90;Bottom;Wheel in
14;;cap-pth-5mm;11.8961;-43.3887;90;Bottom;C18
15;100;THT;80.1586;-65.8912;180;Bottom;R69
16;;THT;30.5701;-32.6426;-90;Bottom;J16
17;;THT;9.67356;-3.66119;-90;Bottom;RS3
18;;;39.9601;-5.60865;90;Bottom;TXT41
19;;;16.341;-23.0288;0;Bottom;Via19
20;;;12.7302;-66.7065;180;Bottom;TXT41
21;;;88.9782;-51.004;-45;Bottom;TXT41
22;;;80.2553;-65.7783;0;Bottom;TXT41
23;;THT;70.6336;-18.9812;0;Bottom;J14
24;;;38.9936;-66.905;-90;Bottom;TXT41
25;;;63.966;-10.6463;0;Bottom;Via13
26;;;83.0552;-2.23419;-90;Bottom;TXT41
27;;;51.901;-25.2513;0;Bottom;Via3
28;;;88.7945;-21.4978;45;Bottom;TXT41
29;;THT;2.37106;-57.0012;0;Bottom;J13
30;;;99.2045;-21.3315;-90;Bottom;TXT41
31;;;59.0603;-66.0206;-90;Bottom;TXT41
32;10k;THT;88.8852;-58.7428;-45;Bottom;R73
33;;;92.5156;-67.4603;180;Bottom;TXT41
34;;;2.73393;-41.741;0;Bottom;TXT41
35;;;61.35;-66.0367;-90;Bottom;TXT41
36;;;1.93206;-37.1672;0;Bottom;TXT41
37;;THT;5.22856;-15.7262;0;Bottom;BUT_3
38;10k;THT;62.3786;-5.24869;90;Bottom;R87
39;;;74.2197;-19.658;0;Bottom;TXT41
40;;THT;22.3736;-3.66119;-90;Bottom;Reset
41;10k;THT;60.1561;-5.24869;90;Bottom;R83
42;;;97.3036;-2.7086;0;Bottom;Hole6
43;;;53.6446;-4.06179;0;Bottom;TXT41
44;10k;THT;40.1536;-5.56619;90;Bottom;R85
45;;;97.3036;-66.2087;0;Bottom;Hole4
46;;THT;60.1442;-31.9422;90;Bottom;MUX_IN
47;;;27.4653;-49.2119;-15;Bottom;TXT41
48;;;18.5424;-60.0351;0;Bottom;TXT41
49;;;99.2049;-56.3897;-90;Bottom;TXT41
50;;;0.364118;-58.2712;90;Bottom;TXT41
51;;;85.5952;-2.23419;-90;Bottom;TXT41
52;10k;THT;10.4626;-50.4971;45;Bottom;R51
53;;THT;89.6836;-65.2562;-90;Bottom;RS2
54;;;97.2606;-51.1843;0;Bottom;TXT41
55;;;48.3242;-17.5313;0;Bottom;TXT42
56;;;87.3622;-44.6187;0;Bottom;TXT41
57;;;45.217;-54.0237;-15;Bottom;TXT41
58;;;22.3524;-26.8317;0;Bottom;Via18
59;;THT;2.68856;-16.9962;0;Bottom;J12
60;10k;THT;87.4611;-29.3787;0;Bottom;R91
61;;;96.4766;-47.4527;0;Bottom;TXT41
62;;;1.77524;-50.5258;0;Bottom;TXT41
63;;;55.2211;-4.04937;0;Bottom;TXT41
64;;;1.78423;-44.1601;0;Bottom;TXT41
65;;THT;4.91106;-30.9662;0;Bottom;APM_L
66;10k;THT;88.8945;-53.6721;135;Bottom;R72
67;;;10.4144;-55.449;45;Bottom;TXT41
68;;;23.7031;-9.00117;90;Bottom;TXT41
69;;;0.39553;-53.2226;90;Bottom;TXT41
70;;THT;94.4461;-44.9362;0;Bottom;ENC_2
71;;;2.68856;-66.2087;0;Bottom;Hole3
72;;;89.3942;-1.66996;-90;Bottom;TXT41
73;;;92.0598;-2.20315;-90;Bottom;TXT41
74;;;8.54235;-6.89109;90;Bottom;TXT41
75;;;99.2048;-16.2826;-90;Bottom;TXT41
76;;;60.0507;-5.24487;90;Bottom;TXT41
77;10k;THT;10.7895;-58.1078;-135;Bottom;R54
78;;;60.993;-41.0052;0;Bottom;TXT42
79;;;56.1142;-65.9664;-90;Bottom;TXT41
