*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=F_Interface_AL_Hardware_v0.02
*Date=11:37:08
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;97.2606;-51.1843;0;Bottom;TXT41
2;;;97.3036;-2.7086;0;Bottom;Hole6
3;;;63.0287;-54.969;90;Bottom;TXT41
4;;;43.6511;-19.5718;0;Bottom;Via23
5;;;96.9908;-18.9012;0;Bottom;IMG2
6;;;28.406;-17.9488;0;Bottom;Via12
7;;THT;49.9097;-8.54815;-90;Bottom;DPAD
8;;;99.2048;-13.9311;-90;Bottom;TXT41
9;;;88.9429;-56.0134;-45;Bottom;TXT41
10;;;89.0626;-58.631;-45;Bottom;TXT41
11;;;18.5424;-60.0351;0;Bottom;TXT41
12;;;96.991;-61.4854;0;Bottom;IMG2
13;;;97.1663;-32.7144;0;Bottom;TXT41
14;;;32.8843;-54.5547;-15;Bottom;TXT42
15;;;94.4382;-11.2655;0;Bottom;IMG2
16;;;7.83363;-66.7065;180;Bottom;TXT41
17;10k;THT;88.8945;-13.9753;-135;Bottom;R79
18;;;33.1615;-53.3417;-15;Bottom;TXT42
19;;;29.2762;-42.6549;0;Bottom;IMG2
20;;;97.1976;-27.6657;0;Bottom;TXT41
21;;;79.7563;-62.7303;-90;Bottom;TXT41
22;10k;THT;10.4626;-53.0371;45;Bottom;R52
23;;;51.6825;-11.2254;0;Bottom;Via5
24;;;47.4307;-23.5088;0;Bottom;Via22
25;;cap-pth-5mm;87.7786;-43.7062;90;Bottom;C19
26;;THT;94.4461;-44.9362;0;Bottom;ENC_2
27;;THT;30.5701;-42.6641;-90;Bottom;J15
28;;;2.34541;-55.7312;0;Bottom;IMG2
29;;;2.37106;-58.2712;0;Bottom;IMG2
30;;THT;9.67356;-3.66119;-90;Bottom;RS3
31;;;11.9102;-28.9956;0;Bottom;TXT41
32;;;2.68856;-66.2087;0;Bottom;Hole3
33;;;2.68856;-2.7086;0;Bottom;Hole5
34;;;16.341;-23.0288;0;Bottom;Via19
35;;THT;70.4227;-20.095;0;Bottom;J14
36;;cap-pth-5mm;7.80857;-7.47118;180;Bottom;C12
